sample1,sample2,sample3,sample4,category
-5131.225098,-1661.86377,-1170.654175,-5250.402344,straight
-5221.087402,-2583.734131,-1759.108643,-6137.75,straight
-6060.40332,-2901.606934,-2216.075928,-6989.773926,straight
-5832.671387,-2480.769043,-2037.505005,-6936.59082,straight
-5953.866699,-1721.260864,-1589.332153,-7902.51709,straight
-6789.498535,-2597.482178,-2034.125977,-8641.910156,straight
-6591.274414,-2560.578613,-1356.805786,-8629.798828,straight
-5824.978516,-2356.565186,-995.480957,-7861.87207,straight
-6016.827637,-2691.009521,-1088.421265,-7866.180176,straight
-5905.077637,-3514.744873,-1586.654419,-6898.04541,straight
-5138.388672,-2655.990967,-1181.13147,-6235.927734,straight
-5177.605469,-3545.941162,-1744.132324,-7087.914551,straight
-6075.308594,-3877.341309,-2207.524658,-7989.708984,straight
-5855.796875,-3456.316406,-2044.721069,-7952.076172,straight
-5926.810059,-2694.422119,-1583.155762,-8875.37207,straight
-6802.690918,-3570.583496,-2020.907349,-9655.716797,straight
-6621.678223,-3553.639893,-1364.111694,-9644.921875,straight
-5817.047852,-3344.491455,-997.1994629,-8838.728516,straight
-5969.254395,-3655.239746,-1076.911621,-9786.699219,straight
-5943.529297,-4484.476563,-1595.841431,-8894.271484,straight
-5146.962402,-3638.890869,-1177.505615,-8205.061523,straight
-6085.460449,-4505.631348,-1719.813599,-8969.314453,straight
-6109.601563,-4855.248535,-2211.363525,-8992.475586,straight
-5875.953125,-4446.486816,-2053.904541,-8948.267578,straight
-6850.484863,-3666.659668,-1567.393921,-9797.947266,straight
-7775.414551,-4551.998535,-2023.190552,-10612.59473,straight
-7667.546387,-3573.762451,-1395.90271,-9698.116211,straight
-6792.389648,-3344.893555,-991.9130859,-8822.850586,straight
-6903.311035,-3639.178955,-1054.066528,-9744.043945,straight
-5992.232422,-4489.504883,-1606.666626,-8950.266602,straight
-5153.980469,-3642.965576,-1188.016602,-8222.061523,straight
-6047.064941,-4510.603516,-1721.446045,-8925.641602,straight
-6137.278809,-4850.373535,-2212.846436,-9025.164063,straight
-5928.115234,-4463.475098,-2082.179932,-8996.768555,straight
